beak_length,year
14.3,2012
13.6,2012
13.9,2012
13,2012
13.4,2012
12.9,2012
13.9,2012
12.8,2012
13.2,2012
12.5,2012
12.1,2012
14,2012
14,2012
14.1,2012
15.2,2012
12.5,2012
12.95,2012
13.1,2012
14.9,2012
12.3,2012
13,2012
13.2,2012
13.3,2012
12.2,2012
13.7,2012
14,2012
14.1,2012
14,2012
12.9,2012
13.7,2012
13.1,2012
12.5,2012
12.5,2012
14.35,2012
13.5,2012
15,2012
13.5,2012
13,2012
14.6,2012
14.9,2012
14.1,2012
14.1,2012
13.9,2012
13.8,2012
13.4,2012
13.9,2012
12.3,2012
13.2,2012
13.2,2012
13.37,2012
12.4,2012
13.1,2012
14.1,2012
13.9,2012
13,2012
14.7,2012
14.3,2012
12,2012
13.9,2012
13.7,2012
12.8,2012
13.8,2012
13.7,2012
11.4,2012
13.1,2012
14.7,2012
12.9,2012
12.9,2012
13.5,2012
13.4,2012
13.2,2012
13,2012
12.3,2012
12,2012
13.4,2012
14.6,2012
13.1,2012
13.8,2012
14,2012
13.7,2012
13.9,2012
14.6,2012
13.4,2012
13.8,2012
14.2,2012
13,2012
14,2012
14.4,2012
13.8,2012
14.3,2012
13.2,2012
13,2012
13.5,2012
13.5,2012
13.4,2012
14,2012
13.9,2012
13.4,2012
13,2012
13.6,2012
12.5,2012
13.5,2012
13.5,2012
13.8,2012
12.6,2012
13,2012
11.8,2012
13.3,2012
13,2012
13,2012
13.1,2012
13.8,2012
14.6,2012
12.8,2012
12.3,2012
13.8,2012
13.5,2012
13.6,2012
13,2012
13.1,2012
13.7,2012
14.1,2012
12.7,2012
12.7,2012
12.9,2012
12.4,2012
13.1,2012
13.9,1975
14,1975
12.9,1975
13.5,1975
12.9,1975
14.6,1975
13,1975
14.2,1975
14,1975
14.2,1975
13.1,1975
15.1,1975
13.5,1975
14.4,1975
14.9,1975
12.9,1975
13,1975
14.9,1975
14,1975
13.8,1975
13,1975
14.75,1975
13.7,1975
13.8,1975
14,1975
14.6,1975
15.2,1975
13.5,1975
15.1,1975
15,1975
12.8,1975
14.9,1975
15.3,1975
13.4,1975
14.2,1975
15.1,1975
15.1,1975
14,1975
13.6,1975
14,1975
14,1975
13.9,1975
14,1975
14.9,1975
15.6,1975
13.8,1975
14.4,1975
12.8,1975
14.2,1975
13.4,1975
14,1975
14.8,1975
14.2,1975
13.5,1975
13.4,1975
14.6,1975
13.5,1975
13.7,1975
13.9,1975
13.1,1975
13.4,1975
13.8,1975
13.6,1975
14,1975
13.5,1975
12.8,1975
14,1975
13.4,1975
14.9,1975
15.54,1975
14.63,1975
14.73,1975
15.73,1975
14.83,1975
15.94,1975
15.14,1975
14.23,1975
14.15,1975
14.35,1975
14.95,1975
13.95,1975
14.05,1975
14.55,1975
14.05,1975
14.45,1975
15.05,1975
13.25,1975
